id,category,element_name,description,core_element,hl7_segment,required,cardinality,element_type,phin_vads_links,hl7_archive_processed_name,hl7_archive_processing_description,processing_rationale,column_length,repeating_field
52,calculated,Sending Facility,Source of the Sending Facility check (MSH-4.2 vs MSH-4.1),No,NA,NA,NA,N/A,NA,Sending_Facility_ID_Source,"Return the source of the Sending_FacilityID value.  Valid values:
* MSH-4.2 
* MSH-4.1",Record which component was selected between MSH-4.2 and MSH-4.1 in Sending_FacilityID,varchar(10),No
53,calculated,Processed Facility ID,Facility ID including a patient class,No,N/A,N/A,N/A,N/A,NA,C_Processed_Facility_ID,"Concatenate the following fields, using no separator:
* C_Facility_ID (includes Site_ID)
* C_Patient_Class",NA,varchar(300),N/A
54,direct input,Admit or Encounter Date/ Time,Date and time of encounter for admission,Yes,PV1-44.1,R,[1.. 1],TS,NA,Admit_Date_Time,"Direct input from HL7 message
PV1-44.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
54,direct input,Admit or Encounter Date/ Time,Date and time of encounter for admission,Yes,PV1-44.1,N/A,[1.. 1],TS,NA,Str_Admit_Date_Time,"Direct input from the HL7 message
PV1-44.1

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
55,direct input,Discharge or Disposition Date/Time,Date and time of discharge,Yes,PV1-45.1,RE,[1.. 1],TS,NA,Discharge_Date_Time,"Direct input from HL7 message
PV1-45.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
55,direct input,Discharge or Disposition Date/Time,Date and time of discharge,Yes,PV1-45.1,N/A,[1.. 1],TS,NA,Str_Discharge_Date_Time,"Direct input from HL7 message
PV1-45.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
56,direct input,Date/Time of the Observation,Earliest date and time associated with the observation,No,OBX-14,O,[0.. 1],TS,NA,Observation_Date_Time,"Direct input from HL7 message
OBX-14

If repeating, select the earliest date.",It is possible to receive historic data here. For example if Height was taken from a previous appointment the recording system may simply reuse that OBX segment in the new visit while retaining the same OBX-14 from when it was initially recorded. While we should ingest it we should be cautious in using it for C_Visit_Date,datetime2,No
57,direct input,Procedure Date/Time,Date and time of the procedure,No,PR1-5.1,R,[1.. 1],TS,NA,Procedure_Date_Time,"Direct input from HL7 message
PR1-5.1

If repeating, select the earliest date.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
57,direct input,Procedure Date/Time,Date and time of the procedure,No,PR1-5.1,N/A,[1.. 1],TS,NA,Str_Procedure_Date_Time,"Direct input from HL7 message
PR1-5.1 

If repeating, select the earliest date.

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
58,direct input,Patient Death Date and Time,Date and time of patient's death,NA,PID-29.1,CE,[0.. 1],TS,NA,Death_Date_Time,"Direct input from HL7 message
PID-29.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
58,direct input,Patient Death Date and Time,Date and time of patient's death,NA,PID-29.1,N/A,[0.. 1],TS,NA,Str_Death_Date_Time,"Direct input from HL7 message
PID-29.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
59,direct input,Message (Event) Date/Time (Recorded Date/Time),Date and time that the report is created/generated from original source (from treating facility),Yes,EVN-2.1,R,[1.. 1],TS,NA,Recorded_Date_Time,"Direct input from HL7 message
EVN-2.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
59,direct input,Message (Event) Date/Time (Recorded Date/Time),Date and time that the report is created/generated from original source (from treating facility),Yes,EVN-2.1,N/A,[1.. 1],TS,NA,Str_Recorded_Date_Time,"Direct input from HL7 message
EVN-2.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
60,direct input,Date/Time of Message,Date and time that the message is sent,NA,MSH-7.1,R,[1.. 1],TS,NA,Message_Date_Time,"Direct input from HL7 message
MSH-7.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
60,NA,Date of Message,Date of Message,NA,MSH-7.1,R,[1.. 1],TS,NA,Message_Date,Date portion of Message_Date_Time,NA,date,No
60,direct input,Date/Time of Message,Date and time that the message is sent,NA,MSH-7.1,N/A,[1.. 1],TS,NA,Str_Message_Date_Time,"Direct input from HL7 message
MSH-7.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
61,direct input,Diagnosis Date/Time,Date and time of the diagnosis,No,DG1-5,O,[0.. 1],TS,NA,Diagnosis_Date_Time,"Direct input from HL7 message
DG1-5.1

If repeating, select the earliest date.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Return the earliest date/time to select the first occurrence.",datetime2,No
62,calculated,Visit Date/ Time,The earliest date/time associated with the message; intended to reflect the date of the patient visit,No,N/A,N/A,N/A,N/A,NA,C_Visit_Date_Time,"Return the first non-null from:
* Admit Date/Time (PV1-44.1)
* Earliest Date/Time from:
** Discharge Date/Time (PV1.45.1) 
** Procedure Date/Time (PR1.5.1)
** Patient Death Date/Time (PID.29.1)
** Recorded Date/Time of Message (EVN.2.1)
** Date/Time of Message (MSH.7.1)

If this field is ever null then the record should not be processed into the Archive successfully. (i.e., Exceptions table)","Because Observation_Date_Time can sometimes contain dates from previous visits, we have decided to remove it from this processing. We will, however, still ingest it individually.

Future iterations of processing may consider implications of time zone.",datetime2,N/A
64,calculated,Visit Date/ Time,The earliest date associated with the message; intended to reflect the date of the patient visit,No,N/A,N/A,N/A,N/A,NA,C_Visit_Date,Date only portion of the C_Visit_Date_Time,NA,date,N/A
65,calculated,Visit Date/ Time Source,Source of the selected visit date/time,No,N/A,N/A,N/A,N/A,NA,C_Visit_Date_Source,"Returns the source of the date/time recorded in C_Visit_Date.  Valid values:
* ""Admit""
* ""Discharge""
* ""Procedure""
* ""Death""
* ""Recorded""
* ""Message""",NA,varchar(15),N/A
66,direct input,Time Zone,The time zone for the message,No,MSH-7.1,R,[1.. 1],TS,NA,Time_Zone,"Direct input from HL7 message MSH-7

Take any characters preceding the + or - sign in the MSH-7",NA,varchar(6),No
67,conditional input,Unique Patient Identifier (First),Unique identifier for the patient or visit,Yes,PID-3.1,R,[1.. *],CX,NA,First_Patient_ID,"Direct input from HL7 message
PID-3.1

Select the FIRST non-null value in the PID-3 segment regardless of the Type (PID-3.5)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015).

We are taking the first value as Mirth SME has suggested this is often the most important PID-3 sent.",varchar(100),No
68,conditional input,Unique Patient Identifier (First),Assigning authority of the first identifier found in the PID-3 segment,No,PID-3.4,R,[1.. *],ST,NA,First_Patient_ID_Assigning_Authority,"Direct input from HL7 message
PID-3.4 value 

Take only the value associated with the first non-null PID-3.1 value.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
69,conditional input,Unique Patient Identifier (First),Assigning facility of the first identifier found in the PID-3 segment,No,PID-3.6,O,[1.. *],HD,NA,First_Patient_ID_Assigning_Facility,"Direct input from HL7 message
PID-3.6 value 

Take only the value associated with the first non-null PID-3.1 value.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
70,conditional input,Unique Patient Identifier (First),Identifier type of the first identifier found in the PID-3 segment,No,PID-3.5,O,[1.. *],ID,NA,First_Patient_ID_Type_Code,"Direct input from HL7 message
PID-3.5 value 

Take only the value associated with the first non-null PID-3.1 value.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3),No
71,direct input,Patient Account Number,Patient Account Number,No,PID-18.1,O,[0.. 1],CX,NA,Patient_Account_Number,"Direct input from HL7 message
PID-18.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),No
72,direct input,Unique Visit Identifier,Unique identifier for the visit/ encounter,Yes,PV1-19.1,R,[1.. 1],CX,NA,Visit_ID,"Direct input from HL7 message
PV1-19.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),No
73,direct input,Unique Visit Identifier - Assigning Authority,Assigning authority associated with the unique visit identifier,Yes,PV1-19.4,R,[1.. 1],CX,NA,Visit_ID_Assigning_Authority,"Direct input from HL7 message
PV1-19.4","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
74,direct input,Unique Visit Identifier - Assigning Facility,Assigning facility associated with the unique visit identifier,Yes,PV1-19.6,R,[1.. 1],CX,NA,Visit_ID_Assigning_Facility,"Direct input from HL7 message
PV1-19.6","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
75,conditional input,Medical Record Number,The medical record number (if provided) from the PID-3 segment,Yes,PID-3.1,R,[1.. *],CX,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3597,Medical_Record_Number,"
Direct input from HL7 message, select the first non-null PID-3.1 value 
WHERE
PID-3.5 = ""MR"" (Medical Record Number)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),No
76,conditional input,Medical Record Number - Assigning Authority,Assigning authority of the medical record number,No,PID-3.4,R,[1.. *],ST,NA,Medical_Record_Number_Assigning_Authority,"Direct input from HL7 message
PID-3.4 value 
WHERE
PID-3.5 = ""MR"" (Medical Record Number)

Take only the value associated with the PID-3.1 value stored in Medical_Record_Number","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
77,conditional input,Medical Record Number - Assigning Facility,Assigning facility of the medical record number,No,PID-3.6,O,[1.. *],HD,NA,Medical_Record_Number_Assigning_Facility,"Direct input from HL7 message
PID-3.6 value 
WHERE
PID-3.5 = ""MR"" (Medical Record Number)

Take only the value associated with the PID-3.1 value stored in Medical_Record_Number","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
78,calculated,Unique Patient Identifier,Calculated patient identifier,No,N/A,N/A,N/A,N/A,NA,C_Unique_Patient_ID,"Field must be populated.  If not populated, record is sent to the Exceptions table.

Scan the following fields/ HL7 segments and select the first non-null value:
* Medical_Record_Number
* Patient ID (PID-2.1) [Legacy]
* First_Patient_ID (PID-3)
* Patient_Account_Number (PID-18) 
* Visit_Number (PV1-19)","SMEs have informed that we should usually receive the Medical Record Number in an A08 if we received it in the A01. It would be good to rely on Medical Record Number and fall back on other segments.

PID-2 was prioritized over First_Patient_ID despite it being legacy as it is non-repeating whereas First_Patient_ID may not be ordered the same between A01s and A08s

If this field is left blank or has less than 3 characters this message will be exceptioned.",varchar(100),N/A
79,calculated,Unique Patient Identifier - Source,Calculated patient identifier - source,No,N/A,N/A,N/A,N/A,NA,C_Unique_Patient_ID_Source,"Return the source for Unique_Patient_ID.  Valid values:
* MedRecNo (PID-3)
* Legacy Patient ID (PID-2)
* Legacy PID-4 (PID-4) 
   * (PID-4 only applies to legacy migration)
* First Patient ID (PID-3)
* Patient Acct Num (PID-18)
* Visit Number (PV1-19)",NA,varchar(20),N/A
80,direct input,Patient Death Indicator (message),Patient Death Indicator from message,No,PID-30.1,CE,[0.. 1],ID,NA,Patient_Death_Indicator,"Direct input from HL7 message
PID-30.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(20),No
81,calculated,Patient Death Indicator,"Indicator of Patient Death, calculated",No,N/A,N/A,N/A,N/A,NA,C_Death,"Set to ""Yes"" IF:
* PID-30.1 (Patient_Death_Indicator) = First letter of ""Y"" and/or
* PID-29.1 is not null and/or
* PV1-36.1 contains ""20,"" ""22,"" ""23,"" ""24,"" ""25,"" ""26,"" ""27,"" ""28,"" ""29,"" ""40,"" ""41,"" or ""42""

ELSE set to ""No""",This is not a hierarchy but serves as an indicator of whether information associated with 'death' came in any area of the message.,varchar(3),N/A
82,calculated,Patient Death Indicator - source,Source of the patient death indicator,No,N/A,N/A,N/A,N/A,NA,C_Death_Source,"Return the source for C_Death.  Valid values:
* Indicator
* Death Date
* Disposition",NA,varchar(15),N/A
83,calculated,Unique  ID,"A unique ID is generated for each visit using the facility ID, regardless of patient class",No,N/A,N/A,N/A,N/A,NA,C_BioSense_ID,"Concatenate the following fields using ESSENCE's Formula:
* C_Visit_Date
* C_BioSense_Facility_ID 
* C_Unique_Patient_ID

Convert(varchar(20), C_Visit_Date , 102) 
+ '.' 
+ C_BioSense_Facility_ID
+ '_' 
+ C_Unique_Patient_ID",NA,varchar(400),N/A
84,calculated,Processed Visit ID,A unique visit ID is generated for each visit taking into account the facility ID and patient class,No,N/A,N/A,N/A,N/A,NA,C_Processed_BioSense_ID,"Concatenate the following fields, do not use a separator:
* C_Visit_Date 
* C_BioSense_Facility_ID 
* C_Patient_Class
* C_Unique_Patient_ID

Convert(varchar(20), C_Visit_Date , 102) 
+ '.' 
+ C_BioSense_Facility_ID
+ C_Patient_Class
+ '_' 
+ C_Unique_Patient_ID",NA,varchar(500),N/A
85,direct input,Patient Zip,Zip code of patient residence,Yes,PID-11.5,RE,[0.. 1],XAD,NA,Patient_Zip,"Direct input from HL7 message
PID-11.5","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),No
86,calculated,Patient County,County of Patient Residence,Yes,"PID-11.9, PID-12.1",RE,[0.. 1],XAD,NA,C_Patient_County,"Return the first non-null value from:
* PID-11.9
* PID-12.1","1) PID-12 is a legacy value still sent by some Sites; consequently, this value will continue to be captured for completion.
2) While PID-11 can repeat, the first instance is most important.",varchar(100),N/A
87,calculated,Patient County - Source,County of Patient Residence - Source,No,N/A,N/A,N/A,N/A,NA,C_Patient_County_Source,"Return the source of the first non-null value for patient_county.  Valid values:
* PID-11.9
* PID-12.1",NA,varchar(10),N/A
88,direct input,Diagnosis Code,Primary diagnosis of the patient's condition / Additional diagnoses of the patient's condition - code(s),Yes,DG1-3,RE,[1.. 1],CE,NA,Diagnosis_Code,"Direct input from HL7 message.
DG1-3.1, DG1-3.4

Select first non-null value and concatenate if repeating. (Note: semicolon is placed in first character to facilitate searches)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
89,direct input,Diagnosis Code Description,Primary diagnosis of the patient's condition / Additional diagnoses of the patient's condition - code description(s),Yes,DG1-3,RE,[1.. 1],CE,NA,Diagnosis_Description,"Direct input from HL7 message:
DG1-3.2, DG1-3.5

Select first non-null value and concatenate if repeating. (Note: semicolon is placed in first character to facilitate searches)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3000),Yes
90,direct input,Diagnosis Code Segment,Primary diagnosis of the patient's condition / Additional diagnoses of the patient's condition - segment,Yes,DG1-3,N/A,[1.. 1],CE,NA,Diagnosis_Combo,"Store Diagnosis_Code and Diagnosis_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
90,direct input,Diagnosis Code Segment,Primary diagnosis of the patient's condition / Additional diagnoses of the patient's condition - segment,Yes,DG1-3,N/A,[1.. 1],CE,NA,Diagnosis_Segment,"Direct input from HL7 message
DG1-3

Concatenate repeating segments","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
91,direct input,Diagnosis Type,Qualifier for diagnosis / Injury Code specifying type of diagnosis,Yes,DG1-6,RE,[1.. 1],IS,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.827,Diagnosis_Type,"Direct input from HL7 message
DG1-6.1

Concatenate repeating values","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(255),Yes
92,direct input,Diagnosis Priority,"Priority associated with the diagnosis code (admitting, primary, or ranked secondary diagnosis)",No,DG1-15,X,[0.. 1],ID,NA,Diagnosis_Priority,"Direct input from HL7 message
DG1-15.1

Concatenate if repeating","Not supported by PHIN Guide
Supported by HL7",varchar(100),Yes
93,direct input,Discharge Disposition,Patient's anticipated location or status following discharge,Yes,PV1-36,RE,[1.. 1],IS,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.915,Discharge_Disposition,"Direct input from HL7 message
PV1-36.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(255),Yes
94,conditional input,Triage Notes,Triage Notes for the patient visit,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],TX,NA,Triage_Notes,"Entire OBX segment where:
* OBX-3 Observation Identifier 54094-8 Emergency Department Triage Notes
* OBX-2=""TX""

Populate this field with the OBX-5.1 segment; concatenate repeating segments","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
95,direct input,Gender / Administrative Sex,Stated gender of the patient,Yes,PID-8,RE,[0.. 1],IS,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3403,Administrative_Sex,"Direct input from HL7 message
PID-8.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(20),Yes
96,direct input,Race - codes,Race of patient - codes,Yes,PID-10.1,RE,[0.. *],CE,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.836,Race_Code,"Direct input from HL7 message:
PID-10.1, PID-10.4

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),Yes
97,direct input,Race - code values,Race of patient - code values,Yes,PID-10.2,RE,[0.. *],CE,NA,Race_Description,"Direct input from HL7 message:
PID-10.2, PID-10.5

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
98,direct input,Race - segment,Race of patient - segment,Yes,PID-10,N/A,[0.. *],CE,NA,Race_Segment,"Direct input from HL7 message
PID-10 segment

concatenate repeating segments (non-null only)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
99,direct input,Ethnicity - codes,Ethnicity of Patient - codes,Yes,PID-22.1,RE,[0.. 1],CE,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.837,Ethnicity_Code,"Direct input from HL7 message:
PID-22.1, PID-22.4

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),Yes
100,direct input,Ethnicity - code values,Ethnicity of Patient - code values,Yes,PID-22.2,RE,[0.. 1],CE,NA,Ethnicity_Description,"Direct input from HL7 message:
PID-22.2, PID-22.5

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
101,direct input,Ethnicity - segment,Ethnicity of Patient - Segment,Yes,PID-22,N/A,[0.. 1],CE,NA,Ethnicity_Segment,"Direct input from HL7 message
PID-22 segment

concatenate repeating segments (non-null only)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
102,conditional input,Initial Temperature,Initial temperature of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.919,Initial_Temp,"OBX-5.1 Segment where
* OBX-3 = 11289-6 AND/OR
* OBX-3 = 8310-5 AND
* OBX-2 = ""NM""

concatenate repeating segments

NOTE: If the Initial Temp measurement reported does not ""fit"" into the decimal(6,2) data type, the measurement will not be stored in Initial_Temp. The string value of the measurement will still be stored in Str_Initial_Temp.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

OBX-3 ""8310-5"" is from legacy guide and is going to continue being supported.","decimal(6,2)",Yes
102,conditional input,Initial Temperature,Initial temperature of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Initial_Temp,"OBX-5.1 Segment where
* OBX-3 = 11289-6 AND/OR
* OBX-3 = 8310-5 AND
* OBX-2 = ""NM""

concatenate repeating segments

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

OBX-3 ""8310-5"" is from legacy guide and is going to continue being supported.",varchar(20),Yes
103,conditional input,Initial Temperature (Units),Initial temperature of the patient (units),Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.919,Initial_Temp_Units,"OBX-6.2 Segment where
* OBX-3 = 11289-6 AND/OR
* OBX-3 = 8310-5 AND
* OBX-2 = ""NM""

concatenate repeating segments","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

OBX-3 ""8310-5"" is from legacy guide and is going to continue being supported.",varchar(50),Yes
104,direct input,Assigned Patient Location,Contains the patient's initial assigned location or the location to which the patient is being moved,No,PV1-3,O,[0.. 1],PL,NA,Assigned_Patient_Location,"Direct input from HL7 message
PV1-3.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),Yes
105,direct input,Alternate Visit ID,Alternate visit ID,No,PV1-50,X,[0.. 1],CX,NA,Alternate_Visit_ID,"Direct input from HL7 message
PV1-50.1","Not supported by PHIN Guide
Supported by HL7",varchar(100),Yes
106,direct input,Procedure Code,Procedures administered to the patient - code(s),Yes,PR1-3,O,[1.. 1],CE,NA,Procedure_Code,"Direct input from HL7 message:
PR1-3.1, PR1-3.4

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
107,direct input,Procedure Code Description,Procedures administered to the patient - code description(s),Yes,PR1-3,O,[1.. 1],CE,NA,Procedure_Description,"Direct input from HL7 message.
PR1-3.2, PR1-3.5

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3000),Yes
118,conditional input,Initial Acuity - Segment,Assessment of the intensity of medical care the patient requires - segment(s),Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],CWE,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.912,Initial_Acuity_Combo,"Store Initial_Acuity_Code and Initial_Acuity_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),No
108,direct input,Procedure Code Segment,Procedures administered to the patient - segment,Yes,PR1-3,N/A,[1.. 1],CE,NA,Procedure_Segment,"Direct input from HL7 message
PR1-3 segment

if repeating, concatenate segments","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
109,conditional input,Date of onset,Date that the patient began having symptoms of condition being reported,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],TS,NA,Onset_Date,"OBX-5.1 segment where:
* OBX-3 = 11368-8
* OBX-2=""TS""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
110,conditional input,Clinical impression,Clinical impression (free text) of the diagnosis,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],TX,NA,Clinical_Impression,"Entire OBX segment where:
* OBX-3 = 44833-2
* OBX-3 = 11300-1
* OBX-2 = ""TX""

If repeating, concatenate values","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

11300-1 is included for Legacy processing.",varchar(8000),Yes
111,conditional input,Problem List - Code,"Problem List of the patient condition(s) - code(s)

Similar to Chief Complaint and contains a list of all complaints or clinical findings",Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],CWE,NA,Problem_List_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = 11450-4 AND/OR
* OBX-3 = 18624-7 OR
* OBX-2 = ""CWE""

Select all non-null values and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

11450-4 is included for Legacy processing.",varchar(255),Yes
