id,category,element_name,description,core_element,hl7_segment,required,cardinality,element_type,phin_vads_links,hl7_archive_processed_name,hl7_archive_processing_description,processing_rationale,column_length,repeating_field
112,conditional input,Problem List - Description,"Problem List of the patient condition(s) - code description(s)

Similar to Chief Complaint and contains a list of all complaints or clinical findings",Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],CWE,NA,Problem_List_Description,"OBX-5 segment where:
* OBX-3 = 11450-4 AND/OR
* OBX-3 = 18624-7 OR
* OBX-2 = ""CWE""

Populate with OBX-5.2, OBX-5.5, OBX-5.9.  If repeating, concatenate values.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

11450-4 is included for Legacy processing.",varchar(3000),Yes
152,conditional input,Medications Prescribed or Dispensed - Segment,Current medications entered as standardized codes - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Medication_Combo,"Store Medication_Code and Medication_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
113,conditional input,Problem List - Segment,"Problem List of the patient condition(s) - segment(s)

Similar to Chief Complaint and contains a list of all complaints or clinical findings",Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Problem_List_Segment,"Entire OBX segment where:
* OBX-3 = 11450-4 AND/OR
* OBX-3 = 18624-7 OR
* OBX-2 = ""CWE""

Populate with OBX-5 segment.  If repeating, concatenate values.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

11450-4 is included for Legacy processing.",varchar(8000),Yes
114,conditional input,Initial Pulse Oximetry,First recorded pulse oximetry value,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Initial_Pulse_Oximetry,"OBX-5.1 segment where:
* OBX-3 = 59408-5 
* OBX-2=""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",int,No
114,conditional input,Initial Pulse Oximetry,First recorded pulse oximetry value,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Initial_Pulse_Oximetry,"OBX-5.1 segment where:
* OBX-3 = 59408-5 
* OBX-2=""NM""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),No
115,conditional input,Initial Pulse Oximetry (Units),First recorded pulse oximetry value (units),Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,http://phinvads.cdc.gov/vads/ViewValueSet.action?id=A7453ADB-5505-E011-9273-00188B39829B,Initial_Pulse_Oximetry_Units,"OBX-6.2 segment where:
* OBX-3 = 59408-5 
* OBX-2=""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
116,conditional input,Initial Acuity - Code,Assessment of the intensity of medical care the patient requires - code(s),Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],CWE,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.912,Initial_Acuity_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = 11283-9
* OBX-2=""CWE"" or ""TX""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(255),No
117,conditional input,Initial Acuity - Description,Assessment of the intensity of medical care the patient requires - code description(s),Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],CWE,NA,Initial_Acuity_Description,"OBX-5 segment where:
* OBX-3 = 11283-9
* OBX-2=""CWE"" or ""TX""

Concatenate non-null values from OBX-5.2, OBX-5.5, OBX-5.9","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3000),No
113,conditional input,Problem List - Segment,"Problem List of the patient condition(s) - segment(s)

Similar to Chief Complaint and contains a list of all complaints or clinical findings",Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Problem_List_Combo,"Store Problem_List_Code and Problem_List_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

11450-4 is included for Legacy processing.",varchar(8000),Yes
118,conditional input,Initial Acuity - Segment,Assessment of the intensity of medical care the patient requires - segment(s),Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],CWE,NA,Initial_Acuity_Segment,"Entire OBX segment where:
* OBX-3 = 11283-9
* OBX-2=""CWE"" or ""TX""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),No
119,direct input,Servicing Facility,Servicing facility,No,PV1-39.1,X,[0.. 1],IS,NA,Servicing_Facility,"Direct input from HL7 message 
PV1-39.1","Not supported by PHIN Guide
Supported by HL7",varchar(200),Yes
120,direct input,Unique Physician Identifier (Attending Doctor),Unique identifier for the physician providing care,Yes,PV1-7.1,O,[0.. *],XCN,NA,Unique_Physician_Identifier,"Direct input from HL7 message
PV1-7.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),Yes
121,direct input,Unique Physician Identifier - Assigning Authority,Assigning Authority for the Unique Physician Identifier,No,PV1-7.9,O,[0.. *],HD,NA,Unique_Physician_Identifier_Assigning_Authority,"Direct input from HL7 message
PV1-7.9","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),Yes
122,conditional input,Provider Type - code,Provider Type from National Uniform Claim Committee (NUCC) Healthcare Provider Taxonomy Code System - code,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. *],CWE,NA,Provider_Type_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = ""54582-2"" Provider Type
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
123,conditional input,Provider Type - code description,Provider Type from National Uniform Claim Committee (NUCC) Healthcare Provider Taxonomy Code System - code description,Yes,"OBX-2, OBX-3, OBX-5.2",O,[0.. *],CWE,NA,Provider_Type_Description,"OBX-5 segment where:
* OBX-3 = ""54582-2"" Provider Type
* OBX-2 = ""CWE""

Include non-null values for OBX-5.2, OBX-5.5, OBX-5.9","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
108,direct input,Procedure Code Segment,Procedures administered to the patient - segment,Yes,PR1-3,N/A,[1.. 1],CE,NA,Procedure_Combo,"Store Procedure_Code and Procedure_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
124,conditional input,Provider Type - segment,Provider Type from National Uniform Claim Committee (NUCC) Healthcare Provider Taxonomy Code System - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Provider_Type_Segment,"Entire OBX segment where:
* OBX-3 = ""54582-2"" Provider Type
* OBX-2 = ""CWE""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
125,direct input,Patient City/Town,City or town of patient residence,Yes,PID-11.3,RE,[0.. 1],XAD,NA,Patient_City,"Direct input from HL7 message
PID-11.3","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(80),No
126,direct input,Patient State,State of patient residence,Yes,PID-11.4,O,[0.. 1],XAD,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.830,Patient_State,"Direct input from HL7 message
PID-11.4","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
127,direct input,Patient Country,Country of patient residence,Yes,PID-11.6,O,[0.. 1],XAD,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.829,Patient_Country,"Direct input from HL7 message
PID-11.6","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
128,conditional input,Hospital Unit - code,Hospital unit where patient is at the time the message is sent (admission and discharge) - code,Yes,"OBX-2, OBX-3, OBX-5.1",RE,[0.. 1],CWE,NA,Hospital_Unit_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = ""56816-2"" Patient Location (LOINC)
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
129,conditional input,Hospital Unit - code description,Hospital unit where patient is at the time the message is sent (admission and discharge) - code description,Yes,"OBX-2, OBX-3, OBX-5.2",RE,[0.. 1],CWE,NA,Hospital_Unit_Description,"OBX-5.2, OBX-5.5, OBX-5.9 segment where:
* OBX-3 = ""56816-2"" Patient Location (LOINC)
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),No
130,conditional input,Hospital Unit - segment,Hospital unit where patient is at the time the message is sent (admission and discharge) - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],CWE,NA,Hospital_Unit_Segment,"Entire OBX segment where:
* OBX-3 = ""56816-2"" Patient Location (LOINC)
* OBX-2 = ""CWE""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),No
131,conditional input,Height,Height of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Height,"OBX-5.1 segment where:
* OBX-3 = ""8302-2"" Body Height (LOINC)
* OBX-2 = ""NM""

NOTE: If the Height measurement reported does not ""fit"" into the decimal(6,2) datatype, the measurement will not be stored in Height. The string value of the measurement will still be stored in Str_Height.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)","decimal(6,2)",Yes
131,conditional input,Height,Height of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Height,"OBX-5.1 segment where:
* OBX-3 = ""8302-2"" Body Height (LOINC)
* OBX-2 = ""NM""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),Yes
132,conditional input,Height Units,Height of the patient (units),Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.891,Height_Units,"OBX-6.2 segment where:
* OBX-3 = ""8302-2"" Body Height (LOINC)
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
133,conditional input,Weight,Weight of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Weight,"OBX-5.1 segment where:
* OBX-3 = ""3141-9"" Body Weight Measured (LOINC)
* OBX-2 = ""NM""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),Yes
133,conditional input,Weight,Weight of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Weight,"OBX-5.1 segment where:
* OBX-3 = ""3141-9"" Body Weight Measured (LOINC)
* OBX-2 = ""NM""

NOTE: If the Weight measurement reported does not ""fit"" into the decimal(6,2) datatype, the measurement will not be stored in Weight. The string value of the measurement will still be stored in Str_Weight.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)","decimal(6,2)",Yes
134,conditional input,Weight Units,Weight of the patient (units),Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.879,Weight_Units,"OBX-6.2 segment where:
* OBX-3 = ""3141-9"" Body Weight Measured (LOINC)
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
135,conditional input,BMI,Body Mass Index,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Body_Mass_Index,"OBX-5.1 segment where:
* OBX-3 = ""59574-4"" Body Mass Index (LOINC)
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",int,Yes
135,conditional input,BMI,Body Mass Index,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Body_Mass_Index,"OBX-5.1 segment where:
* OBX-3 = ""59574-4"" Body Mass Index (LOINC)
* OBX-2 = ""NM""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),Yes
136,conditional input,Smoking Status - Code,Smoking status of patient - code,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],CWE,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.6027,Smoking_Status_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = ""72166-2"" Tobacco Smoking Status (LOINC)
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
137,conditional input,Smoking Status - Code Description,Smoking status of patient - code description,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],CWE,NA,Smoking_Status_Description,"OBX-5 segment where:
* OBX-3 = ""72166-2"" Tobacco Smoking Status (LOINC)
* OBX-2 = ""CWE""

Include non-null values for OBX-5.2, OBX-5.5, OBX-5.9","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
138,conditional input,Smoking Status - Segment,Smoking status of patient - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],CWE,NA,Smoking_Status_Segment,"Entire OBX segment where:
* OBX-3 = ""72166-2"" Tobacco Smoking Status (LOINC)
* OBX-2 = ""CWE""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
139,conditional input,Systolic Blood Pressure,Most recent systolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Systolic_Blood_Pressure,"OBX-5.1 segment where:
* OBX-3 = ""8480-6""
* OBX-2 = ""NM""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),Yes
139,conditional input,Systolic Blood Pressure,Most recent systolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Systolic_Blood_Pressure,"OBX-5.1 segment where:
* OBX-3 = ""8480-6""
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",int,Yes
140,conditional input,Systolic Blood Pressure - Units,Most recent systolic blood pressure of the patient - units,Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.920,Systolic_Blood_Pressure_Units,"OBX-6.2 segment where:
* OBX-3 = ""8480-6""
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
141,conditional input,Diastolic Blood Pressure,Most recent diastolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",O,[0.. 1],NM,NA,Diastolic_Blood_Pressure,"OBX-5.1 segment where:
* OBX-3 = ""8462-4""
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",int,Yes
141,conditional input,Diastolic Blood Pressure,Most recent diastolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. 1],NM,NA,Str_Diastolic_Blood_Pressure,"OBX-5.1 segment where:
* OBX-3 = ""8462-4""
* OBX-2 = ""NM""
Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),Yes
142,conditional input,Diastolic Blood Pressure - Units,Most recent diastolic blood pressure of the patient - units,Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,NA,Diastolic_Blood_Pressure_Units,"OBX-6.2 segment where:
* OBX-3 = ""8462-4""
* OBX-2 = ""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
143,conditional input,Systolic and Diastolic Blood Pressure,Most recent systolic and diastolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],NM,NA,Str_Systolic_Diastolic_Blood_Pressure,"OBX-5 segment where:
* OBX-3 = ""35094-2""
* OBX-2 = ""SN""

Stored as a String in the database",This is a panel value where the recording system may send both the Systolic and Diastolic Blood pressures together.,varchar(20),Yes
143,conditional input,Systolic and Diastolic Blood Pressure,Most recent systolic and diastolic blood pressure of the patient,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],NM,NA,Systolic_Diastolic_Blood_Pressure,"OBX-5 segment where:
* OBX-3 = ""35094-2""
* OBX-2 = ""SN""",This is a panel value where the recording system may send both the Systolic and Diastolic Blood pressures together.,int,Yes
144,conditional input,Systolic and Diastolic Blood Pressure Units,Most recent systolic and diastolic blood pressure of the patient - Units,Yes,"OBX-2, OBX-3, OBX-6.2",O,[0.. 1],NM,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.920,Systolic_Diastolic_Blood_Pressure_Units,"OBX-6.2 segment where:
* OBX-3 = ""35094-2""
* OBX-2 = ""SN""",This is a panel value where the recording system may send both the Systolic and Diastolic Blood pressures together.,varchar(100),Yes
145,direct input,Event Type Code,Event type that triggers a message submission,NA,EVN-1.1,RE,[0.. 1],ID,NA,Event_Type_Code,"Direct input from HL7 message
EVN-1.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(20),Yes
146,direct input,Insurance Coverage,Health insurance coverage of the patient,Yes,IN1-15,O,[0.. 1],IS,NA,Insurance_Coverage,"Direct input from HL7 message
IN1-15","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(20),Yes
147,not ingested,Insurance Plan ID,Insurance plan associated with the patient,No,IN1-2,R,[1.. 1],CE,NA,NA,Not Ingested,"PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

This could contain Insurance ID, which may be SSN for certain patients.",NA,N/A
148,direct input,Insurance Company ID,Insurance company ID,No,IN1-3,R,[1.. *],CX,NA,Insurance_Company_ID,"Direct input from HL7 message:
IN1-3.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),Yes
149,conditional input,Medication List,Current medications entered as narrative,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],TX,NA,Medication_List,"Entire OBX segment where:
* OBX-3 = ""10160-0""
* OBX-2 = ""TX""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
150,conditional input,Medications Prescribed or Dispensed - Code,Current medications entered as standardized codes - code,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],CWE,NA,Medication_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = ""8677-7"" History of Medication Use Reported (LOINC)
* OBX-2 = ""CWE""

Select all non-null values and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
151,conditional input,Medications Prescribed or Dispensed - Description,Current medications entered as standardized codes - code description,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],CWE,NA,Medication_Description,"OBX-5 segment where:
* OBX-3 = ""8677-7"" History of Medication Use Reported (LOINC)
* OBX-2 = ""CWE""

Include non-null values from segments OBX-5.2, OBX-5.5, OBX-5.9","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
124,conditional input,Provider Type - segment,Provider Type from NUCC Healthcare Provider Taxonomy Code System - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Provider_Type_Combo,"Store Provider_Type_Code and Provider_Type_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
152,conditional input,Medications Prescribed or Dispensed - Segment,Current medications entered as standardized codes - segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. *],CWE,NA,Medication_Segment,"Entire OBX segment where:
* OBX-3 = ""8677-7"" History of Medication Use Reported (LOINC)
* OBX-2 = ""CWE""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
153,direct input,Previous Hospital Unit,Hospital unit where patient was prior to the current transaction,Yes,PV1-6.1,O,[0.. 1],PL,NA,Previous_Hospital_Unit,"Direct input from HL7 message
PV1-6.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(80),Yes
154,conditional input,Pregnancy Status - Code,Whether the patient is pregnant during the encounter - code,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],CWE,NA,Pregnancy_Status_Code,"OBX-5.1, OBX-5.4 segment where:
* OBX-3 = ""11449-6"" Pregnancy Status (LOINC)
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),Yes
155,conditional input,Pregnancy Status - Description,Whether the patient is pregnant during the encounter - Description,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],CWE,NA,Pregnancy_Status_Description,"OBX-5.2, OBX-5.5, OBX-5.9 segment where:
* OBX-3 = ""11449-6"" Pregnancy Status (LOINC)
* OBX-2 = ""CWE""

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),Yes
156,conditional input,Pregnancy Status - Segment,Whether the patient is pregnant during the encounter - Segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],CWE,NA,Pregnancy_Status_Segment,"Entire OBX segment where:
* OBX-3 = ""11449-6"" Pregnancy Status (LOINC)
* OBX-2 = ""CWE""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),Yes
157,direct input,Hospital Service,Treatment or type of surgery that the patient is scheduled to receive,No,PV1-10.1,O,[0.. 1],IS,NA,Hospital_Service,"Direct input from HL7 message
PV1-10.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(500),Yes
158,direct input,Admit Source,Indicates where the patient was admitted,Yes,PV1-14.1,O,[0.. 1],IS,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.918,Admit_Source,"Direct input from HL7 message:
PV1-14.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),Yes
159,direct input,Ambulatory Status,Indicates any permanent or transient handicapped conditions,No,PV1-15.1,O,[0.. *],IS,NA,Ambulatory_Status,"Direct input from HL7 message
PV1-15.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Ambulatory_Status is currently treated as non-repeating. Will change processing to treat Ambulatory_Status as repeating, as it should be.",varchar(50),Yes
160,direct input,Admission Type,Indicates the circumstances under which the patient was or will be admitted,Yes,PV1-4,O,[0.. 1],IS,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.913,Admission_Type,"Direct input from HL7 message
PV1-4.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),Yes
161,conditional input,Travel History,Travel History as Narrative,Yes,"OBX-2, OBX-3, OBX-5",O,[0.. *],TX,NA,Travel_History,"Entire OBX segment where:
* OBX-3 = ""10182-4"" History of Travel Narrative (LOINC)
* OBX-2 = ""TX""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
162,not ingested,Treating Facility Address,"Address of treating facility location (street address, city, zip code, county, state)",Yes,"OBX-2, OBX-3, OBX-5",O,[0.. 1],XAD,NA,NA,Not Ingested,"Not ingested due to reliability of information; Facility Address and other metadata will be pulled from the MFT/crosswalk based on the ""Facility_ID""",NA,N/A
163,not ingested,Patient Name,Patient's name,No,PID-5,R,[1.. *],XPN,NA,NA,Not Ingested,This field can be personally identifiable,NA,N/A
164,conditional input,Discharge Instructions,Hospital discharge instructions,No,"OBX-2, OBX-3, OBX-5",X,??,TX,NA,Discharge_Instructions,"Entire OBX segment where:
* OBX-3 = ""8653-8"" Hospital Discharge Instructions
* OBX-2 = ""TX""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
165,conditional input,Initial Evaluation Note,NA,No,"OBX-2, OBX-3, OBX-5",??,??,TX,NA,Initial_Evaluation_Note,"OBX-5.1 segment where:
* OBX-3 = ""34120-6""
* OBX-2 = ""TX""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
NA,direct input,Diagnosis Date/Time,Date and time of the diagnosis,No,DG1-5,N/A,[0.. 1],TS,NA,Str_Diagnosis_Date_Time,"Direct input from HL7 message
DG1-5.1

If repeating, select the earliest date.

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Return the earliest date/time to select the first occurrence.",varchar(24),No
NA,conditional input,Date/Time of the Observation,Earliest date and time associated with the observation,No,OBX-14,N/A,[0.. 1],TS,NA,Str_Observation_Date_Time,"Direct input from HL7 message
OBX-14

If repeating, select the earliest date.

Stored as a String in the database","It is possible to receive historic data here. For example, if Height was taken from a previous appointment, the recording system may simply reuse that OBX segment in the new visit while retaining the same OBX-14 from when it was initially recorded. While we should ingest it, we should be cautious in using it for C_Visit_Date",varchar(24),No
NA,conditional input,Date of onset,Date that the patient began having symptoms of condition being reported,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],TS,NA,Str_Onset_Date,"OBX-5.1 segment where:
* OBX-3 = 11368-8
* OBX-2=""TS""

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
NA,calculated,Update Essence,NA,NA,NA,NA,NA,N/A,NA,Update_Essence,This value will default to 'N' when a record is inserted into the Processed table. Once the record has been successfully written into the ESSENCE Staging table it will be updated to 'Y',NA,char(1),No
NA,calculated,BioSense Agnostic ID,This uniquely identifies a facility regardless of if the FacilityID_UUID changes over time,N/A,N/A,N/A,N/A,N/A,NA,C_BioSense_Facility_ID,This field will be looked up from the Operational Crosswalk at the time of processing and associated with this record.,This uniquely identifies a facility regardless of if the FacilityID_UUID changes over time,int,No
NA,calculated,Calculated Body Mass Index,Placeholder for potential need to calculate BMI leveraging the reported BMI or the reported height and weight,N/A,N/A,N/A,N/A,N/A,NA,C_BMI,N/A,NA,"decimal(6,2)",N/A
